Word ,Context. diversity,Freq. per million,Word Form,Coverage
215,88.0%,1935.3,ah,64.1%
216,88.0%,578.5,familia,64.1%
217,88.0%,472.1,esos,64.2%
218,88.0%,320.5,hago,64.2%
219,88.0%,297.7,unas,64.2%
220,88.0%,296.2,queda,64.3%
221,87.8%,314.2,buen,64.3%
222,87.5%,519.6,además,64.3%
223,87.5%,444.8,luego,64.4%
224,87.5%,406.0,ven,64.4%
225,87.5%,318.0,tarde,64.5%
226,87.2%,458.9,buenas,64.5%
227,87.2%,308.5,primero,64.5%
228,87.0%,1308.1,señor,64.7%
229,87.0%,430.9,lugar,64.7%
230,87.0%,323.0,nuestro,64.7%
231,87.0%,313.0,sabía,64.8%
232,86.7%,4148.6,pues,65.2%
233,86.7%,259.5,primera,65.2%
234,86.4%,398.9,sobre,65.2%
235,86.4%,368.2,ves,65.3%
236,86.2%,3568.0,usted,65.6%
237,86.2%,1271.9,amor,65.8%
238,86.2%,339.2,cualquier,65.8%
239,86.2%,283.4,nuestra,65.8%
240,85.9%,1243.8,tienes,66.0%
241,85.9%,801.6,necesito,66.0%
242,85.9%,675.0,allá,66.1%
243,85.9%,626.1,dios,66.2%
244,85.9%,472.7,importante,66.2%
245,85.6%,2752.8,ay,66.5%
246,85.6%,364.6,sido,66.5%
247,85.4%,951.8,eres,66.6%
248,85.4%,831.2,mujer,66.7%
249,85.4%,599.0,venga,66.8%
250,85.4%,435.8,han,66.8%
251,85.1%,520.2,vaya,66.9%
252,85.1%,292.7,estas,66.9%
253,84.6%,1091.7,mamá,67.0%
254,84.6%,389.7,cara,67.0%
255,84.6%,385.3,lado,67.1%
256,84.6%,325.8,cabeza,67.1%
257,84.6%,241.1,llama,67.1%
258,84.3%,976.3,quieres,67.2%
259,84.3%,449.8,padre,67.3%
260,84.3%,255.9,mano,67.3%
261,84.0%,1056.6,papá,67.4%
262,84.0%,517.9,perdón,67.5%
263,84.0%,467.7,problema,67.5%
264,83.8%,380.4,poder,67.5%
265,83.8%,334.4,pasado,67.6%
266,83.8%,305.2,cuidado,67.6%
267,83.8%,210.3,dicen,67.6%
268,83.5%,1057.7,ti,67.7%
269,83.5%,844.6,ustedes,67.8%
270,83.5%,316.9,volver,67.8%
271,83.5%,269.3,mucha,67.9%
272,83.2%,251.1,nombre,67.9%
273,83.2%,250.6,nuevo,67.9%
274,83.0%,365.5,idea,68.0%
275,83.0%,359.1,caso,68.0%
276,83.0%,288.2,visto,68.0%
277,83.0%,241.7,algún,68.0%
278,83.0%,194.6,horas,68.1%
279,82.7%,409.9,esas,68.1%
280,82.7%,306.3,estado,68.1%
281,82.7%,241.9,tomar,68.2%
282,82.4%,350.7,cuál,68.2%
283,82.4%,249.1,cuánto,68.2%
284,82.2%,487.5,hablando,68.3%
285,82.2%,285.9,miedo,68.3%
286,82.2%,275.4,vi,68.3%
287,82.2%,223.9,alguna,68.4%
288,81.9%,447.2,hizo,68.4%
289,81.9%,382.6,dicho,68.4%
290,81.9%,310.8,acuerdo,68.5%
291,81.9%,280.1,aunque,68.5%
292,81.9%,216.5,hacemos,68.5%
293,81.9%,194.0,grande,68.5%
294,81.6%,607.8,puedes,68.6%
295,81.4%,391.0,razón,68.6%
296,81.4%,360.0,mío,68.7%
297,81.4%,269.8,cuándo,68.7%
298,81.4%,262.9,buenos,68.7%
299,81.1%,386.9,importa,68.8%
300,81.1%,346.4,amigo,68.8%
301,81.1%,304.1,ningún,68.8%
302,81.1%,284.4,pueden,68.9%
303,81.1%,273.4,deja,68.9%
304,81.1%,254.6,amigos,68.9%
305,80.9%,410.5,serio,68.9%
306,80.9%,360.7,haces,69.0%
307,80.6%,188.0,puerta,69.0%
308,80.3%,162.6,hacen,69.0%
309,80.1%,360.0,persona,69.1%
310,80.1%,296.4,poner,69.1%
311,80.1%,223.4,fui,69.1%
312,80.1%,222.2,vivir,69.1%
313,80.1%,211.7,fin,69.2%
314,80.1%,164.8,arriba,69.2%
315,80.1%,125.1,año,69.2%
316,79.8%,481.1,entiendo,69.2%
317,79.8%,288.5,pensar,69.3%
318,79.8%,230.4,gran,69.3%
319,79.5%,280.3,hice,69.3%
320,79.5%,250.7,quieren,69.3%
321,79.5%,211.7,muchos,69.4%
322,79.3%,391.3,vale,69.4%
323,79.3%,361.2,será,69.4%
324,79.3%,351.6,tipo,69.5%
325,79.3%,323.5,debe,69.5%
326,79.0%,566.4,has,69.6%
327,78.7%,344.3,seguir,69.6%
328,78.7%,247.2,dio,69.6%
329,78.7%,202.1,difícil,69.6%
330,78.7%,190.8,vino,69.7%
331,78.7%,164.8,agua,69.7%
332,78.5%,201.1,espera,69.7%
333,78.5%,146.4,final,69.7%
334,78.5%,119.3,toma,69.7%
335,78.5%,115.3,diez,69.7%
336,78.2%,533.5,contigo,69.8%
337,78.2%,475.8,dinero,69.8%
338,78.2%,330.3,quedar,69.9%
339,78.2%,171.0,medio,69.9%
340,77.9%,997.6,acá,70.0%
341,77.9%,286.3,manera,70.0%
342,77.9%,284.8,hubiera,70.0%
343,77.9%,276.3,hemos,70.1%
344,77.9%,161.0,llevo,70.1%
345,77.7%,303.5,haga,70.1%
346,77.7%,260.3,poquito,70.1%
347,77.7%,240.5,adelante,70.2%
348,77.7%,231.3,buscar,70.2%
349,77.7%,146.5,podía,70.2%
350,77.4%,264.7,juntos,70.2%
351,77.4%,227.3,fácil,70.2%
352,77.4%,115.3,eran,70.3%
353,77.1%,619.1,oye,70.3%
354,77.1%,233.3,sigue,70.3%
355,77.1%,225.7,sería,70.4%
356,77.1%,203.6,comer,70.4%
357,77.1%,184.2,suerte,70.4%
358,76.9%,431.5,tranquilo,70.4%
359,76.9%,212.6,manos,70.5%
360,76.6%,648.3,señora,70.5%
361,76.6%,431.3,cierto,70.6%
362,76.6%,313.8,sola,70.6%
363,76.6%,245.1,llevar,70.6%
364,76.6%,171.2,paso,70.7%
365,76.6%,165.9,dentro,70.7%
366,76.3%,273.5,pensé,70.7%
367,76.3%,262.8,rápido,70.7%
368,76.3%,250.6,vemos,70.7%
369,76.3%,203.8,entrar,70.8%
370,76.3%,192.0,podría,70.8%
371,76.1%,468.5,crees,70.8%
372,76.1%,278.5,trabajar,70.9%
373,76.1%,159.9,última,70.9%
374,76.1%,150.2,minutos,70.9%
375,76.1%,123.3,semana,70.9%
376,75.8%,755.7,hija,71.0%
377,75.8%,201.1,vengo,71.0%
378,75.8%,167.8,sale,71.0%
379,75.8%,143.3,atrás,71.0%
380,75.8%,90.0,seis,71.0%
381,75.3%,328.6,pasando,71.1%
382,75.3%,274.5,hijos,71.1%
383,75.3%,204.9,habla,71.1%
384,75.0%,214.7,mientras,71.1%
385,75.0%,207.0,punto,71.2%
386,75.0%,175.4,fuerte,71.2%
387,75.0%,137.4,segundo,71.2%
388,74.7%,332.6,dale,71.2%
389,74.7%,293.9,ayudar,71.3%
390,74.7%,234.9,ninguna,71.3%
391,74.7%,213.0,misma,71.3%
392,74.7%,165.6,dormir,71.3%
393,74.7%,133.6,historia,71.3%
394,74.5%,322.4,diga,71.4%
395,74.5%,252.4,llegó,71.4%
396,74.5%,163.3,tenido,71.4%
397,74.2%,240.7,esperando,71.4%
398,74.2%,146.1,dame,71.4%
399,73.9%,231.4,tenga,71.5%
400,73.9%,204.1,encontrar,71.5%
401,73.7%,349.2,gusto,71.5%
402,73.7%,255.3,haya,71.5%
403,73.7%,223.0,buscando,71.6%
404,73.7%,220.9,peor,71.6%
405,73.7%,124.0,meses,71.6%
406,73.4%,593.0,hermano,71.7%
407,73.4%,273.6,problemas,71.7%
408,73.4%,228.6,quien,71.7%
409,73.4%,208.4,corazón,71.7%
410,73.4%,202.5,anda,71.8%
411,73.4%,184.0,ayuda,71.8%
412,73.4%,125.9,lleva,71.8%
413,73.4%,124.4,primer,71.8%
414,73.1%,275.8,contra,71.8%
415,73.1%,220.0,conozco,71.8%
416,72.9%,336.1,diciendo,71.9%
417,72.9%,261.4,dices,71.9%
418,72.9%,175.4,encima,71.9%
419,72.9%,153.0,di,71.9%
420,72.9%,148.2,das,72.0%
421,72.6%,461.0,tranquila,72.0%
422,72.6%,202.7,mía,72.0%
423,72.6%,186.6,nueva,72.0%
424,72.6%,149.0,cambiar,72.1%
425,72.3%,391.6,listo,72.1%
426,72.3%,248.2,feliz,72.1%
427,72.3%,153.3,tuve,72.1%
428,72.1%,266.5,perfecto,72.2%
429,72.1%,184.7,ojos,72.2%
430,72.1%,167.8,cambio,72.2%
431,71.8%,223.8,loco,72.2%
432,71.8%,193.9,saben,72.2%
433,71.8%,193.7,sacar,72.3%
434,71.8%,176.0,contar,72.3%
435,71.8%,148.7,dado,72.3%
436,71.8%,124.4,último,72.3%
437,71.5%,274.7,preocupes,72.3%
438,71.5%,157.5,pregunta,72.3%
439,71.5%,121.7,otras,72.4%
440,71.3%,260.1,pronto,72.4%
441,71.3%,253.8,país,72.4%
442,71.3%,240.7,creer,72.4%
443,71.3%,234.9,dijiste,72.5%
444,71.3%,174.0,hacerlo,72.5%
445,71.3%,151.4,ayer,72.5%
446,71.0%,138.2,cerca,72.5%
447,71.0%,109.9,abajo,72.5%
448,70.7%,285.3,culpa,72.5%
449,70.7%,208.7,sabemos,72.6%
450,70.7%,193.3,personas,72.6%
451,70.7%,191.1,llamar,72.6%
452,70.7%,190.7,muerto,72.6%
453,70.7%,188.2,ganas,72.6%
454,70.7%,143.5,forma,72.7%
455,70.7%,126.6,estábamos,72.7%
456,70.5%,189.8,pedir,72.7%
457,70.5%,184.8,rato,72.7%
458,70.5%,141.1,llamo,72.7%
459,70.5%,135.8,otros,72.7%
460,70.5%,111.1,bajo,72.7%
461,70.5%,70.8,ocho,72.7%
462,69.9%,199.4,hagas,72.8%
463,69.9%,180.2,perder,72.8%
464,69.9%,160.4,empezar,72.8%
465,69.9%,136.7,doy,72.8%
466,69.9%,97.8,hacía,72.8%
467,69.7%,184.5,vuelta,72.8%
468,69.7%,152.6,justo,72.9%
469,69.7%,130.6,bastante,72.9%
470,69.4%,273.1,digas,72.9%
471,69.4%,170.3,noches,72.9%
472,69.4%,150.8,camino,72.9%
473,69.4%,135.1,llega,72.9%
474,69.1%,213.8,siquiera,73.0%
475,69.1%,138.5,siendo,73.0%
476,69.1%,132.6,nuestros,73.0%
477,68.9%,296.0,esté,73.0%
478,68.9%,206.5,teléfono,73.0%
479,68.9%,182.7,pase,73.1%
480,68.9%,171.1,esperar,73.1%
481,68.6%,246.5,pensando,73.1%
482,68.6%,196.2,paz,73.1%
483,68.6%,147.3,dejó,73.1%
484,68.6%,129.6,cuerpo,73.2%
485,68.6%,111.1,realidad,73.2%
486,68.6%,108.6,número,73.2%
487,68.6%,91.0,sentido,73.2%
488,68.4%,211.3,niño,73.2%
489,68.4%,196.0,quedó,73.2%
490,68.1%,307.9,espero,73.3%
491,68.1%,273.6,mierda,73.3%
492,68.1%,238.5,cree,73.3%
493,68.1%,228.1,mujeres,73.3%
494,68.1%,189.7,estabas,73.3%
495,68.1%,155.2,mil,73.4%
496,68.1%,145.4,fueron,73.4%
497,68.1%,117.2,pone,73.4%
498,68.1%,116.9,demás,73.4%
499,68.1%,108.1,ejemplo,73.4%
500,68.1%,98.5,decía,73.4%
501,67.8%,228.1,pena,73.4%
502,67.8%,199.6,pueda,73.5%
503,67.8%,186.9,única,73.5%
504,67.8%,171.7,gustaría,73.5%
505,67.6%,360.1,puta,73.5%
506,67.6%,174.0,pienso,73.6%
507,67.6%,161.9,acaba,73.6%
508,67.6%,155.5,queremos,73.6%
509,67.6%,145.5,estaban,73.6%
510,67.6%,133.9,lejos,73.6%
511,67.6%,132.6,palabra,73.6%
512,67.6%,120.1,puesto,73.6%
513,67.6%,100.4,luz,73.6%
514,67.3%,186.3,viste,73.7%
515,67.3%,149.1,adónde,73.7%
516,67.3%,148.3,vivo,73.7%
517,67.3%,105.7,normal,73.7%
518,67.3%,100.4,vienen,73.7%
519,67.0%,179.9,raro,73.7%
520,67.0%,117.9,ido,73.7%
521,67.0%,114.7,tuyo,73.8%
522,66.8%,286.6,dime,73.8%
523,66.8%,197.9,quieras,73.8%
524,66.8%,174.5,seas,73.8%
525,66.8%,165.4,hablamos,73.8%
526,66.8%,160.6,meter,73.9%
527,66.8%,156.1,niños,73.9%
528,66.8%,139.3,allí,73.9%
529,66.8%,106.2,mayor,73.9%
530,66.5%,170.1,oportunidad,73.9%
531,66.5%,156.1,trabajando,73.9%
532,66.5%,127.1,calle,73.9%
533,66.5%,113.3,baño,74.0%
534,66.2%,188.4,tema,74.0%
535,66.2%,187.6,sino,74.0%
536,66.2%,152.8,darle,74.0%
537,66.2%,140.5,demasiado,74.0%
538,66.2%,99.6,atención,74.0%
539,66.0%,477.5,mire,74.1%
540,66.0%,360.1,vámonos,74.1%
541,66.0%,156.7,posible,74.1%
542,66.0%,139.9,par,74.1%
543,65.7%,251.9,hombres,74.2%
544,65.4%,346.7,permiso,74.2%
545,65.4%,286.2,matar,74.2%
546,65.4%,210.0,muerte,74.3%
547,65.4%,158.3,mala,74.3%
548,65.4%,132.6,estuve,74.3%
549,65.4%,92.7,joven,74.3%
550,64.9%,155.5,toca,74.3%
551,64.9%,138.3,tuvo,74.3%
552,64.9%,134.7,viaje,74.3%
553,64.9%,130.3,dejo,74.3%
554,64.9%,129.1,entender,74.4%
555,64.9%,95.0,e,74.4%
556,64.9%,65.8,siete,74.4%
557,64.6%,173.4,adiós,74.4%
558,64.6%,114.2,foto,74.4%
559,64.6%,113.5,dijeron,74.4%
560,64.6%,97.3,dan,74.4%
561,64.4%,283.1,solamente,74.5%
562,64.4%,198.0,necesita,74.5%
563,64.4%,185.1,pagar,74.5%
564,64.4%,183.1,salió,74.5%
565,64.4%,171.8,viejo,74.5%
566,64.4%,141.9,viendo,74.5%
567,64.4%,132.8,morir,74.6%
568,64.4%,107.6,imposible,74.6%
569,64.1%,224.9,hiciste,74.6%
570,64.1%,215.5,estuvo,74.6%
571,64.1%,188.9,déjame,74.6%
572,64.1%,174.1,vayas,74.6%
573,64.1%,73.8,vive,74.7%
574,63.8%,215.7,fiesta,74.7%
575,63.8%,188.1,quiera,74.7%
576,63.8%,76.1,edad,74.7%
577,63.6%,137.3,adentro,74.7%
578,63.6%,115.6,comida,74.7%
579,63.6%,89.4,nuestras,74.7%
580,63.3%,346.8,policía,74.8%
581,63.3%,143.3,bonito,74.8%
582,63.3%,141.8,piensa,74.8%
583,63.3%,133.0,boca,74.8%
584,63.3%,105.4,traje,74.8%
585,63.3%,105.3,querer,74.8%
586,63.3%,101.4,jugar,74.8%
587,63.3%,101.3,duro,74.9%
588,63.3%,97.0,conocer,74.9%
589,63.0%,146.8,pido,74.9%
590,63.0%,71.2,vuelve,74.9%
591,62.8%,295.3,juro,74.9%
592,62.8%,169.3,ciudad,74.9%
593,62.8%,161.1,decirle,75.0%
594,62.8%,109.5,aún,75.0%
595,62.5%,220.8,salud,75.0%
596,62.5%,135.9,malo,75.0%
597,62.5%,124.7,debería,75.0%
598,62.5%,108.6,conoce,75.0%
599,62.5%,99.0,chica,75.0%
600,62.2%,159.6,afuera,75.0%
601,62.2%,152.1,situación,75.1%
602,62.2%,116.4,ropa,75.1%
603,62.2%,85.5,tierra,75.1%
604,62.2%,78.5,alto,75.1%
605,62.0%,180.6,supuesto,75.1%
606,62.0%,118.5,libre,75.1%
607,62.0%,74.2,algunos,75.1%
608,61.7%,203.6,segura,75.1%
609,61.7%,165.0,necesitamos,75.2%
610,61.7%,127.6,sangre,75.2%
611,61.7%,90.4,habrá,75.2%
612,61.4%,147.2,trata,75.2%
613,61.4%,144.7,frente,75.2%
614,61.4%,120.5,cuarto,75.2%
615,61.4%,102.7,escuchar,75.2%
616,61.2%,301.8,hermana,75.3%
617,61.2%,164.4,encanta,75.3%
618,61.2%,129.5,vio,75.3%
619,61.2%,103.0,especial,75.3%
620,61.2%,82.5,resto,75.3%
621,61.2%,68.8,principio,75.3%
622,61.2%,68.3,media,75.3%
623,60.9%,333.4,amiga,75.4%
624,60.9%,158.5,verte,75.4%
625,60.9%,121.9,puso,75.4%
626,60.9%,119.5,querido,75.4%
627,60.9%,115.1,chicos,75.4%
628,60.9%,87.8,recuerdo,75.4%
629,60.9%,72.8,teníamos,75.4%
630,60.9%,71.6,encuentro,75.4%
631,60.9%,68.8,pensaba,75.4%
632,60.6%,373.6,vea,75.5%
633,60.6%,326.4,jefe,75.5%
634,60.6%,156.3,vete,75.5%
635,60.6%,109.7,cama,75.5%
636,60.6%,106.9,venido,75.6%
637,60.6%,96.2,comprar,75.6%
638,60.6%,84.7,pongo,75.6%
639,60.6%,57.4,siguiente,75.6%
640,60.4%,406.6,niña,75.6%
641,60.4%,130.0,terminar,75.6%
642,60.4%,113.8,acabo,75.6%
643,60.4%,82.4,hacia,75.6%
644,60.4%,76.9,delante,75.7%
645,60.1%,260.8,hubo,75.7%
646,60.1%,190.6,uy,75.7%
647,60.1%,166.1,vine,75.7%
648,60.1%,136.1,jamás,75.7%
649,60.1%,86.8,voz,75.7%
650,59.8%,123.8,hicieron,75.8%
651,59.8%,99.6,detrás,75.8%
652,59.8%,79.9,venía,75.8%
653,59.8%,68.3,pelo,75.8%
654,59.8%,62.7,quedan,75.8%
655,59.6%,152.3,dé,75.8%
656,59.6%,126.7,derecho,75.8%
657,59.6%,123.3,sorpresa,75.8%
658,59.6%,107.9,acabó,75.8%
659,59.6%,80.1,durante,75.8%
660,59.6%,70.9,cuántos,75.8%
661,59.3%,127.5,realmente,75.9%
662,59.3%,98.4,mensaje,75.9%
663,59.3%,92.9,futuro,75.9%
664,59.0%,653.3,don,75.9%
665,59.0%,151.8,cuento,76.0%
666,59.0%,119.7,música,76.0%
667,59.0%,109.9,increíble,76.0%
668,59.0%,106.1,hablo,76.0%
669,59.0%,91.3,personal,76.0%
670,59.0%,70.0,vuelvo,76.0%
671,59.0%,65.9,perdido,76.0%
672,58.8%,167.7,loca,76.0%
673,58.8%,163.8,deje,76.1%
674,58.8%,145.5,novia,76.1%
675,58.8%,130.3,fuiste,76.1%
676,58.8%,120.5,clase,76.1%
677,58.8%,108.9,exactamente,76.1%
678,58.8%,83.4,tuya,76.1%
679,58.8%,80.0,mejores,76.1%
680,58.8%,64.8,chico,76.1%
681,58.8%,50.5,empieza,76.1%
682,58.5%,202.3,marido,76.1%
683,58.5%,154.9,capaz,76.2%
684,58.5%,137.6,perfectamente,76.2%
685,58.5%,111.0,tenías,76.2%
686,58.5%,97.7,gustan,76.2%
687,58.5%,90.8,verlo,76.2%
688,58.5%,90.5,significa,76.2%
689,58.5%,89.8,sirve,76.2%
690,58.5%,79.2,baja,76.2%
691,58.5%,72.7,padres,76.2%
692,58.5%,70.3,regalo,76.2%
693,58.5%,69.1,grandes,76.3%
694,58.5%,61.0,empezó,76.3%
695,58.2%,110.6,ibas,76.3%
696,58.2%,110.5,suficiente,76.3%
697,58.2%,88.6,llegado,76.3%
698,58.2%,87.6,juego,76.3%
699,58.2%,85.2,dejé,76.3%
700,58.2%,65.9,fondo,76.3%
701,58.0%,192.9,tío,76.3%
702,58.0%,110.8,querías,76.3%
703,58.0%,102.0,hablas,76.4%
704,58.0%,98.6,murió,76.4%
705,58.0%,90.4,trae,76.4%
706,58.0%,79.3,dejado,76.4%
707,57.7%,111.7,cariño,76.4%
708,57.7%,78.0,partir,76.4%
